Title,Source,DOI,Year,Authenticus DT,WOS:000070984900003,Authenticus ID,Institution,NUTS II
Composition and corrosion behaviour of galvanised steel treated with rare-earth salts: the effect of the cation,PROGRESS IN ORGANIC COATINGS,10.1016/s0300-9440(01)00250-8,2002,Review,WOS:000179438300006,P-000-PYV,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
Application of the r largest-order statistics for long-term predictions of significant wave height,COASTAL ENGINEERING,10.1016/j.coastaleng.2004.04.003,2004,Article,WOS:000223902500004,P-000-935,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
Bayesian inference for long-term prediction of significant wave height,COASTAL ENGINEERING,10.1016/j.coastaleng.2006.11.003,2007,Article,WOS:000246748300002,P-004-A7G,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
The Tagus Estuarine Plume Induced By Wind and River Runoff: Winter 2007 Case Study,JOURNAL OF COASTAL RESEARCH,NULL,2009,Article,WOS:000266722400037,P-003-QX5,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
A process-oriented model of pelagic biogeochemistry for marine systems. Part II: Application to a mesotidal estuary,JOURNAL OF MARINE SYSTEMS,10.1016/j.jmarsys.2011.11.009,2012,Article,WOS:000301760000009,P-002-9X6,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
Impact of Maritime Air Mass Trajectories on the Western European Coast Urban Aerosol,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,10.1080/15287394.2013.757201,2013,Article,WOS:000316327900004,P-005-309,Universidade Técnica de Lisboa; Universidade de Aveiro,AREA METROPOLITANA DE LISBOA; CENTRO
Variation and resilience of rocky intertidal fish in western Portugal,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps184197,1999,Article,WOS:000082207800022,P-001-5ZF,Universidade Técnica de Lisboa; Instituto Superior de Psicologia Aplicada,AREA METROPOLITANA DE LISBOA
Rapid shifts in a marine fish assemblage follow fluctuations in winter sea conditions,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps340259,2007,Article,WOS:000248011500022,P-004-DW9,Universidade Técnica de Lisboa; Instituto Superior de Psicologia Aplicada,AREA METROPOLITANA DE LISBOA
Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus),EUROPEAN FOOD RESEARCH AND TECHNOLOGY,10.1007/s002170100299,2001,Article,WOS:000169202100001,P-000-X35,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Supercritical fluid extraction of organochlorines from fish muscle with different sample preparation,JOURNAL OF SUPERCRITICAL FLUIDS,10.1016/s0896-8446(02)00141-9,2003,Article,WOS:000181105100004,P-000-HKW,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
"Effect of low-dose irradiation and refrigeration on the microflora, sensory characteristics and biogenic amines of Atlantic horse mackerel (trachurus trachurus)",EUROPEAN FOOD RESEARCH AND TECHNOLOGY,10.1007/s00217-005-1172-x,2005,Article,WOS:000231312300016,P-000-21M,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Protein changes after irradiation and ice storage of horse mackerel (Trachurus trachurus),EUROPEAN FOOD RESEARCH AND TECHNOLOGY,10.1007/s00217-006-0292-2,2006,Article,WOS:000241379000012,P-004-G8P,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Fuzzy modeling and simulation of purse-seine fishing skippers behavior,"2008 ANNUAL MEETING OF THE NORTH AMERICAN FUZZY INFORMATION PROCESSING SOCIETY, VOLS 1 AND 2",10.1109/nafips.2008.4531325,2008,Proceedings Paper,WOS:000258322800124,P-004-583,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Fishery-independent estimation of benthic species density-a novel approach applied to Norway lobster Nephrops norvegicus,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps07609,2008,Article,WOS:000260873400021,P-004-42W,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Issues on Dynamic Cognitive Map Modelling of Purse-seine Fishing Skippers Behavior,"2008 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS, VOLS 1-5",10.1109/fuzzy.2008.4630571,2008,Proceedings Paper,WOS:000262974001005,P-004-5B1,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Matrix effect on paralytic shellfish toxins quantification and toxicity estimation in mussels exposed to Gymnodinium catenatum,FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT,10.1080/19440049.2010.525753,2010,Article,WOS:000284632700010,P-003-AZ0,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Depuration kinetics of paralytic shellfish toxins in Mytilus galloprovincialis exposed to Gymnodinium catenatum: laboratory and field experiments,JOURNAL OF ENVIRONMENTAL MONITORING,10.1039/c0em00202j,2010,Article,WOS:000285805300009,P-003-0MP,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Shelf-life of cooked edible crab (Cancer pagurus) stored under refrigerated conditions,LWT-FOOD SCIENCE AND TECHNOLOGY,10.1016/j.lwt.2011.01.010,2011,Article,WOS:000289752200006,P-002-QBZ,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Properties of protein powder prepared from Cape hake by-products,JOURNAL OF FOOD ENGINEERING,10.1016/j.jfoodeng.2011.08.020,2012,Article,WOS:000296927900003,P-002-HJE,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Estimating Norway lobster abundance from deep-water videos: an automatic approach,IET IMAGE PROCESSING,10.1049/iet-ipr.2009.0426,2012,Article,WOS:000300301200003,P-002-DF5,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Improvement of the gelling ability in restructured fish products: effect of 1-ethyl-3-(3-dimethylaminopropyl)carbodiimide level and pH,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,10.1007/s00217-012-1713-z,2012,Article,WOS:000304162600002,P-002-9PZ,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Isochrysis galbana and Diacronema vlkianum biomass incorporation in pasta products as PUFA's source,LWT-FOOD SCIENCE AND TECHNOLOGY,10.1016/j.lwt.2012.05.006,2013,Article,WOS:000309896600043,P-002-28H,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Effects of dietary fibre and microbial transglutaminase addition on the rheological and textural properties of protein gels from different fish species,JOURNAL OF FOOD ENGINEERING,10.1016/j.jfoodeng.2012.06.023,2012,Article,WOS:000310043600003,P-002-36Y,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Effect of grape dietary fibre on the storage stability of innovative functional seafood products made from farmed meagre (Argyrosomus regius),INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,10.1111/j.1365-2621.2012.03151.x,2013,Article,WOS:000312647800002,P-002-21H,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
TSP with Multiple Time-Windows and Selective Cities,"COMPUTATIONAL LOGISTICS, ICCL 2013",10.1007/978-3-642-41019-2_12,2013,Proceedings Paper,WOS:000340551800012,P-008-FKB,Universidade Técnica de Lisboa; Instituto Português do Mar e da Atmosfera,AREA METROPOLITANA DE LISBOA
Effect of plants on sulphur geochemistry in the Tagus salt-marshes sediments,MARINE CHEMISTRY,10.1016/s0304-4203(97)00049-2,1997,Article,WOS:000070984900003,P-001-AM5,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
MARIUS: An autonomous underwater vehicle for coastal oceanography,IEEE ROBOTICS & AUTOMATION MAGAZINE,10.1109/100.637805,1997,Article,WOS:000071135400011,P-001-A6V,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
"Abundance, size composition and growth of a thin-lipped grey mullet, Liza ramada (Pisces : Mugilidae) population in an Iberian River",FOLIA ZOOLOGICA,NULL,1997,Article,WOS:000071406400008,P-001-CDK,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Control of an AUV in the vertical and horizontal planes: system design and tests at sea,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,10.1177/014233129701900303,1997,Article,WOS:000071688500003,P-001-D0R,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Microporous hollow fibres for carbon dioxide absorption: Mass transfer model fitting and the supplying of carbon dioxide to microalgal cultures,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,10.1002/(sici)1097-4660(199801)71:1<61::aid-jctb785>3.0.co;2-r,1998,Article,WOS:000071865400009,P-001-9B4,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Nonlinear effects on long-term distributions of wave-induced loads for tankers,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,NULL,1998,Article,WOS:000073779100001,P-001-81B,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Time-domain analysis of large-amplitude vertical ship motions and wave loads,JOURNAL OF SHIP RESEARCH,NULL,1998,Article,WOS:000074997100007,P-001-7TY,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
"Mission control of the MARIUS autonomous underwater vehicle: system design, implementation and sea trials",INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,10.1080/00207729808929598,1998,Article,WOS:000076354600004,P-001-70C,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
"Spatial variation in diet composition of pumpkinseed sunfish, Lepomis gibbosus, and largemouth bass, Micropterus salmoides, from a Portuguese stream",FOLIA ZOOLOGICA,NULL,1998,Article,WOS:000076435600006,P-001-94K,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Evaluation of the seasonal variations in the residual circulation in the Ria of Vigo (NW Spain) by means of a 3D baroclinic model,ESTUARINE COASTAL AND SHELF SCIENCE,10.1006/ecss.1998.0385,1998,Article,WOS:000077018300010,P-001-6TF,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Time-domain analysis of large-amplitude responses of ships in waves,PRACTICAL DESIGN OF SHIPS AND MOBILE UNITS,NULL,1998,Proceedings Paper,WOS:000077676000059,P-001-9N1,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Semiconducting behaviour of stainless steel passive films in contact with artificial seawater,"ELECTROCHEMICAL METHODS IN CORROSION RESEARCH VI, PTS 1 AND 2",10.4028/www.scientific.net/msf.289-292.887,1998,Article,WOS:000077814800084,P-001-8ZE,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Automatic mosaic creation of the ocean floor,"OCEANS'98 - CONFERENCE PROCEEDINGS, VOLS 1-3",NULL,1998,Proceedings Paper,WOS:000078340800054,P-001-9JX,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Guidance and control of the SIRENE underwater vehicle: from system design to tests at sea.,"OCEANS'98 - CONFERENCE PROCEEDINGS, VOLS 1-3",NULL,1998,Proceedings Paper,WOS:000078340800208,P-001-9K1,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
On the reliability of ship structures in different coastal areas,"STRUCTURAL SAFETY AND RELIABILITY, VOLS. 1-3",NULL,1998,Proceedings Paper,WOS:000078605500296,P-001-9SK,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Uncertainty of the sea state parameters resulting from the methods of spectral estimation,OCEAN ENGINEERING,10.1016/s0029-8018(98)00027-4,1999,Article,WOS:000078970700006,P-001-38E,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
A two-dimensional particle tracking model for pollution dispersion in A Coruna and Vigo Rias (NW Spain),OCEANOLOGICA ACTA,10.1016/s0399-1784(99)80043-7,1999,Article,WOS:000080139000003,P-001-51S,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Rotational speed control of an OWC wave power plant,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,10.1115/1.2830079,1999,Article,WOS:000080434100001,P-001-4F5,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
The bivariate distribution of wave heights and periods in mixed sea states,JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,10.1115/1.2830073,1999,Article,WOS:000080434100007,P-001-4F6,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Chloride penetration into concrete in marine environment - Part II: Prediction of long term chloride penetration,MATERIALS AND STRUCTURES,10.1007/bf02479627,1999,Article,WOS:000080981200006,P-001-480,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Statistics of maximum and conditional run of sea wave groups in the Portuguese west coast,"ENVIRONMENTAL AND COASTAL HYDRAULICS: PROTECTING THE AQUATIC HABITAT, PROCEEDINGS OF THEME B, VOLS 1 & 2",NULL,1997,Proceedings Paper,WOS:000081412000226,P-001-CCA,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Hydrodynamic and sediment suspension modelling in estuarine systems - Part II: Application to the Western Scheldt and Gironde estuaries,JOURNAL OF MARINE SYSTEMS,10.1016/s0924-7963(99)00036-6,1999,Article,WOS:000083154500003,P-001-37F,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
The orbital criterion of defining discrete waves and its relationship with sea wave periods,"OCEAN WAVE MEASUREMENT AND ANALYSIS, VOLS 1 AND 2",NULL,1998,Proceedings Paper,WOS:000083193400009,P-001-9JV,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Variability of sea-salt deposition assessed by lichen monitoring in the south-west Portuguese coast,AIR POLLUTION VII,NULL,1999,Proceedings Paper,WOS:000083991000058,P-001-5A9,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Plant communities of the lagoons of the Portuguese Coastal Superdistrict - a multivariate approach,HYDROBIOLOGIA,10.1023/a:1003828510253,1999,Article,WOS:000085019200011,P-001-2YQ,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Deteriorative changes during ice storage of irradiated blue jack mackerel (Trachurus picturatus),JOURNAL OF FOOD BIOCHEMISTRY,10.1111/j.1745-4514.2000.tb00688.x,2000,Article,WOS:000087229900001,P-001-06N,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Design and construction of the OWC wave power plant at the Azores,WAVE POWER: MOVING TOWARDS COMMERCIAL VIABILITY,NULL,2000,Proceedings Paper,WOS:000088095300003,P-001-2AB,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Field measurements of coastal waves and currents in Portugal and Greece,COASTAL ENGINEERING,10.1016/s0378-3839(00)00014-4,2000,Article,WOS:000088278000002,P-000-ZJP,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Modelling tidal currents on the coast of Portugal,COASTAL ENGINEERING,10.1016/s0378-3839(00)00020-x,2000,Article,WOS:000088278000008,P-000-ZJV,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Wave hindcasting off the coast of Portugal,COASTAL ENGINEERING,10.1016/s0378-3839(00)00021-1,2000,Article,WOS:000088278000009,P-000-ZJW,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Numerical modelling of OWC-shoreline devices including the effect of surrounding coastline and non-flat bottom,"PROCEEDINGS OF THE 10TH (2000) INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE, VOL I",NULL,2000,Proceedings Paper,WOS:000089401600110,P-001-221,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Modelling uncertainty in long-term predictions of significant wave height,OCEAN ENGINEERING,10.1016/s0029-8018(00)00011-1,2001,Article,WOS:000165367000004,P-000-WAK,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
The performance of sparse time-reversal mirrors in the context of underwater communications,PROCEEDINGS OF THE TENTH IEEE WORKSHOP ON STATISTICAL SIGNAL AND ARRAY PROCESSING,10.1109/ssap.2000.870222,2000,Proceedings Paper,WOS:000165630400153,P-001-247,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Simultaneous compression and denoising of side scan sonar images using the discrete wavelet transform,"OCEANS 2000 MTS/IEEE - WHERE MARINE SCIENCE AND TECHNOLOGY MEET, VOLS 1-3, CONFERENCE PROCEEDINGS",NULL,2000,Proceedings Paper,WOS:000166107400033,P-001-1YV,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Robotic ocean vehicles for marine science applications: The European ASIMOV project,"OCEANS 2000 MTS/IEEE - WHERE MARINE SCIENCE AND TECHNOLOGY MEET, VOLS 1-3, CONFERENCE PROCEEDINGS",10.1109/oceans.2000.881293,2000,Proceedings Paper,WOS:000166107400065,P-001-1YW,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Very low bit rate video compression for acoustic transmission of subsea images of hydrothermal vents,"OCEANS 2000 MTS/IEEE - WHERE MARINE SCIENCE AND TECHNOLOGY MEET, VOLS 1-3, CONFERENCE PROCEEDINGS",NULL,2000,Proceedings Paper,WOS:000166107400090,P-001-1YX,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
Acoustic channel equalization results for the ASIMOV high-speed coherent data link,"OCEANS 2000 MTS/IEEE - WHERE MARINE SCIENCE AND TECHNOLOGY MEET, VOLS 1-3, CONFERENCE PROCEEDINGS",NULL,2000,Proceedings Paper,WOS:000166107400224,P-001-1Z1,Universidade Técnica de Lisboa,AREA METROPOLITANA DE LISBOA
